,model,exp,member,parent_experiment_id,parent_variant_id,branch_time_in_child,branch_time_in_parent,parent_time_units,branch_method
140,EC-Earth3,ssp126,r109i1p1f1,historical,r109i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
141,EC-Earth3,ssp126,r110i1p1f1,historical,r110i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
142,EC-Earth3,ssp126,r111i1p1f1,historical,r111i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
143,EC-Earth3,ssp126,r112i1p1f1,historical,r112i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
144,EC-Earth3,ssp126,r113i1p1f1,historical,r113i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
145,EC-Earth3,ssp126,r114i1p1f1,historical,r114i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
146,EC-Earth3,ssp126,r115i1p1f1,historical,r115i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
147,EC-Earth3,ssp126,r116i1p1f1,historical,r116i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
148,EC-Earth3,ssp126,r117i1p1f1,historical,r117i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
149,EC-Earth3,ssp126,r118i1p1f1,historical,r118i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
150,EC-Earth3,ssp126,r119i1p1f1,historical,r119i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
151,EC-Earth3,ssp126,r11i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
152,EC-Earth3,ssp126,r120i1p1f1,historical,r120i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
153,EC-Earth3,ssp126,r121i1p1f1,historical,r121i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
154,EC-Earth3,ssp126,r122i1p1f1,historical,r122i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
155,EC-Earth3,ssp126,r123i1p1f1,historical,r123i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
156,EC-Earth3,ssp126,r124i1p1f1,historical,r124i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
157,EC-Earth3,ssp126,r125i1p1f1,historical,r125i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
158,EC-Earth3,ssp126,r126i1p1f1,historical,r126i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
159,EC-Earth3,ssp126,r127i1p1f1,historical,r127i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
160,EC-Earth3,ssp126,r128i1p1f1,historical,r128i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
161,EC-Earth3,ssp126,r129i1p1f1,historical,r129i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
162,EC-Earth3,ssp126,r130i1p1f1,historical,r130i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
163,EC-Earth3,ssp126,r131i1p1f1,historical,r131i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
164,EC-Earth3,ssp126,r132i1p1f1,historical,r132i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
165,EC-Earth3,ssp126,r133i1p1f1,historical,r133i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
166,EC-Earth3,ssp126,r134i1p1f1,historical,r134i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
167,EC-Earth3,ssp126,r135i1p1f1,historical,r135i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
168,EC-Earth3,ssp126,r136i1p1f1,historical,r136i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
169,EC-Earth3,ssp126,r137i1p1f1,historical,r137i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
170,EC-Earth3,ssp126,r138i1p1f1,historical,r138i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
171,EC-Earth3,ssp126,r139i1p1f1,historical,r139i1p1f1,60265.0,60265.0,days since 1850-01-01,standard
172,EC-Earth3,ssp126,r13i1p1f1,historical,r1i1p1f1,0.0,0.0,days since 1850-01-01,standard
